typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","710","ZAF","South Africa","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","5","u","3","false","62","false","0","false","0","2112.137","2112.137","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","724","ESP","Spain","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6","false","5","u","6","false","149","false","0","false","0","3337.818","3337.818","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","757","CHE","Switzerland","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","32","false","0","false","0","885.247","885.247","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","807","MKD","North Macedonia","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","32","false","0","false","0","1419.177","1419.177","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","818","EGY","Egypt","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false","32","false","0","false","0","1075.721","1075.721","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","842","USA","USA","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false","228","false","0","false","0","5283.064","5283.064","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","899","_X ","Areas, nes","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","46","false","5","u","46","false","2990","false","0","false","0","21276.171","21276.171","0","false","true",
"C","A","20210101","2021","52","2021","108","BDI","Burundi","X","Export","0","W00","World","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","20","false","0","false",,"177.128","177.128","0","false","true",
"C","A","20210101","2021","52","2021","108","BDI","Burundi","X","Export","180","COD","Dem. Rep. of the Congo","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","20","false","0","false",,"177.128","177.128","0","false","true",
"C","A","20210101","2021","52","2021","112","BLR","Belarus","X","Export","0","W00","World","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","266","false","5","u","266","false","2743","false","0","false","0","8600","8600","0","false","true",
